headline	date	url	order	number_words	newspaper
Fundo do Douro baixou 13 metros	2001-04-18	https://arquivo.pt/noFrame/replay/20010418171044/http://www.expresso.pt/	3	6	EXPRESSO
Seguranças das discotecas são responsáveis por violência e tráfico de droga	2001-04-18	https://arquivo.pt/noFrame/replay/20010418171044/http://www.expresso.pt/	2	11	EXPRESSO
Extracção de areias provocou queda da ponte	2001-04-18	https://arquivo.pt/noFrame/replay/20010418171044/http://www.expresso.pt/	1	7	EXPRESSO
Roubos nas ruas aumentam 15,4 por cento	2001-04-18	https://arquivo.pt/noFrame/replay/20010418171044/http://www.expresso.pt/	0	7	EXPRESSO
Narciso quer que Guterres dê explicações	2001-04-18	https://arquivo.pt/noFrame/replay/20010418171044/http://www.expresso.pt/	5	6	EXPRESSO
Milosevic recebeu acto de acusação do TPI na prisão de Belgrado	2001-05-03	https://arquivo.pt/noFrame/replay/20010503192409/http://www.publico.pt/	6	11	PUBLICO
Eduardo dos Santos admite retomar contactos com Savimbi	2001-05-03	https://arquivo.pt/noFrame/replay/20010503192409/http://www.publico.pt/	0	8	PUBLICO
Rússia aceita negociar sistema antimísseis com os Estados Unidos	2001-05-03	https://arquivo.pt/noFrame/replay/20010503192409/http://www.publico.pt/	1	9	PUBLICO
Droga e crime são as maiores preocupações dos portugueses	2001-05-03	https://arquivo.pt/noFrame/replay/20010503192409/http://www.publico.pt/	2	9	PUBLICO
Helena Roseta quer nova iniciativa para despenalizar aborto	2001-05-03	https://arquivo.pt/noFrame/replay/20010503192409/http://www.publico.pt/	4	8	PUBLICO
Dia europeu do Melanoma apresentado em Lisboa	2001-05-03	https://arquivo.pt/noFrame/replay/20010503192409/http://www.publico.pt/	5	7	PUBLICO
Jaime Pacheco: «Se depender de mim fico aqui de corpo e alma»	2001-05-03	https://arquivo.pt/noFrame/replay/20010503192409/http://www.publico.pt/	7	12	PUBLICO
Cândido Costa: «Penso no título de manhã, à tarde e à noite»	2001-05-03	https://arquivo.pt/noFrame/replay/20010503192409/http://www.publico.pt/	9	12	PUBLICO
Beto nega encontro com Valdano e Toñito anuncia abandono	2001-05-03	https://arquivo.pt/noFrame/replay/20010503192409/http://www.publico.pt/	8	9	PUBLICO
Spehar evita derrota nos descontos	2001-05-06	https://arquivo.pt/noFrame/replay/20010506231245/http://www.publico.pt/	8	5	PUBLICO
Artur Santos Silva clama por credibilidade dos políticos	2001-05-06	https://arquivo.pt/noFrame/replay/20010506231245/http://www.publico.pt/	2	8	PUBLICO
